,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OI
20230529,1893.0189134330165,1913.5703853520722,1884.798324665394,1909.91679034424,1902.1529009525968,97360.0,132087.0
20230530,1909.003391592282,1919.5074772397995,1895.7591096888905,1909.460090968261,1907.176594088365,88605.0,130772.0
20230531,1905.3497965844501,1906.719894712387,1880.688030281583,1887.9952202972472,1891.1921159291007,90728.0,124743.0
20230601,1894.3890115609533,1906.263195336408,1883.4282265374566,1904.436397832492,1894.3890115609533,70482.0,129151.0
20230602,1895.7591096888905,1915.8538822319672,1892.1055146810584,1909.91679034424,1903.0662997045547,89884.0,134002.0
20230605,1908.0899928403242,1929.5548635113373,1886.1684227933315,1892.1055146810584,1905.8064959604287,170957.0,133558.0
20230606,1893.0189134330165,1899.4127046967224,1873.3808402659188,1877.4911346497306,1887.5385209212686,80399.0,134487.0
20230607,1879.3179321536456,1882.5148277854992,1868.3571471301493,1873.8375396418976,1875.207637769835,57734.0,137266.0
20230608,1878.8612327776666,1882.05812840952,1873.3808402659188,1878.8612327776666,1877.4911346497306,41618.0,134839.0
20230609,1872.467441513961,1881.144729657562,1851.002570842947,1868.8138465061288,1866.5303496262336,91096.0,138010.0
20230612,1872.0107421379817,1876.5777358977718,1857.8530614826325,1863.3334539943805,1865.6169508742755,53453.0,142430.0
20230613,1859.6798589865484,1862.4200552424224,1846.4355770831567,1848.262374587073,1854.6561658507792,59363.0,149812.0
20230614,1845.06547895522,1854.1994664748001,1840.9551845714086,1847.805675211094,1848.262374587073,65562.0,156434.0
20230615,1847.805675211094,1861.9633558664434,1845.9788777071767,1852.3726689708842,1854.6561658507792,60143.0,156940.0
20230616,1856.4829633546954,1877.034435273751,1856.0262639787165,1866.5303496262336,1865.6169508742755,96396.0,152254.0
20230619,1865.6169508742755,1890.7354165531208,1861.9633558664434,1884.3416252894147,1879.7746315296247,117256.0,142494.0
20230620,1881.6014290335406,1888.4519196732267,1860.1365583625275,1885.2550240413727,1877.4911346497306,94543.0,137277.0
20230621,1885.2550240413727,1899.4127046967224,1883.4282265374566,1891.64881530508,1892.5622140570374,80821.0,136907.0
20230626,1893.4756128089953,1902.1529009525968,1881.6014290335406,1894.3890115609533,1891.1921159291007,69978.0,137124.0
20230627,1894.3890115609533,1903.522999080533,1887.0818215452894,1890.2787171771427,1894.8457109369326,71231.0,142183.0
20230628,1891.64881530508,1905.3497965844501,1890.7354165531208,1901.2395022006388,1896.6725084408488,48806.0,143587.0
20230629,1898.4993059447647,1899.8694040727007,1874.750938393856,1879.3179321536456,1883.8849259134365,99169.0,147463.0
20230630,1879.3179321536456,1895.302410312912,1877.947834025709,1884.798324665394,1885.711723417352,69001.0,140420.0
20230703,1890.7354165531208,1936.405354151023,1889.8220178011638,1927.2713666314426,1917.680679735884,166974.0,159977.0
20230704,1918.1373791118624,1919.5074772397995,1907.633293464345,1916.7672809839253,1913.1136859760932,77316.0,157577.0
20230705,1909.003391592282,1947.8228385504983,1909.003391592282,1941.885746662771,1934.5785566471066,134332.0,161886.0
20230706,1939.145550406897,1947.3661391745193,1931.8383603912325,1943.7125441666878,1940.9723479108127,76147.0,165421.0
20230707,1948.7362373024564,1952.3898323102883,1934.121857271128,1941.885746662771,1940.5156485348334,70992.0,160374.0
20230710,1945.539341670603,1954.6733291901835,1924.5311703755685,1927.7280660074216,1934.5785566471066,81785.0,159647.0
20230711,1931.8383603912325,1935.4919553990646,1921.7909741196945,1928.1847653834009,1929.5548635113373,64891.0,162714.0
20230712,1926.3579678794845,1940.058949158855,1896.2158090648693,1901.696201576617,1919.5074772397995,157100.0,166887.0
20230713,1901.2395022006388,1903.0662997045547,1882.05812840952,1893.0189134330165,1894.3890115609533,93576.0,167251.0
20230714,1894.8457109369326,1900.78280282466,1874.750938393856,1877.947834025709,1889.8220178011638,119684.0,168779.0
20230717,1889.8220178011638,1899.8694040727007,1882.971527161479,1898.0426065687855,1893.0189134330165,106131.0,167199.0
20230718,1899.8694040727007,1913.5703853520722,1896.2158090648693,1908.0899928403242,1905.8064959604287,116689.0,171083.0
20230719,1911.2868884721768,1914.9404834800089,1901.2395022006388,1903.9796984565128,1907.176594088365,69016.0,175278.0
20230720,1908.5466922163032,1916.7672809839253,1898.0426065687855,1907.633293464345,1908.0899928403242,86696.0,171647.0
20230721,1909.003391592282,1948.2795379264774,1907.176594088365,1939.602249782876,1931.8383603912325,192168.0,170925.0
20230724,1962.4372185818268,1978.878396117072,1953.7599304382247,1976.594899237176,1966.0908135896589,144728.0,168391.0
20230725,1975.2248011092395,1992.5793773964417,1966.0908135896589,1968.831009845533,1978.878396117072,136712.0,167619.0
20230726,1968.3743104695536,1974.7681017332602,1956.9568260700785,1960.6104210779104,1966.0908135896589,108494.0,164478.0
20230727,1958.7836235739944,1971.1145067254279,1954.6733291901835,1964.7207154617213,1963.3506173337848,100127.0,162553.0
20230728,1959.2403229499728,1977.5082979891345,1956.9568260700785,1977.0515986131552,1969.2877092215122,123228.0,153097.0
20230731,1975.2248011092395,1982.9886905008825,1965.1774148377008,1974.311402357281,1975.2248011092395,105025.0,145979.0
20230801,1973.3980036053229,2013.1308493154968,1972.027905477386,2001.713364916022,1993.0360767724208,127917.0,134326.0
20230802,2014.044248067456,2045.5565050100079,2014.044248067456,2026.3751312188888,2029.5720268507416,155401.0,125114.0
20230803,2031.3988243546576,2032.768922482595,2009.9339536836442,2016.3277449473505,2021.8081374590986,90189.0,117343.0
20230804,2016.3277449473505,2035.05241936249,2014.5009474434344,2023.6349349630148,2025.4617324669312,82149.0,118742.0
20230807,2013.5875486914765,2014.5009474434344,1959.2403229499728,1975.2248011092395,1977.9649973651133,131485.0,99526.0
20230808,1988.9257823886096,1995.319573652316,1975.2248011092395,1988.4690830126306,1983.4453898768613,59010.0,93179.0
20230809,1992.5793773964417,2020.8947387071407,1992.5793773964417,2019.0679412032248,2010.3906530596232,74396.0,86419.0
20230810,2028.6586280987838,2028.6586280987838,1984.815488004799,1997.146371156232,2001.256665540043,71466.0,79116.0
20230811,1995.7762730282948,1996.6896717802526,1970.6578073494488,1975.6815004852176,1983.4453898768613,63187.0,68949.0
20230814,1980.2484942450085,1994.4061749003574,1945.996041046582,1953.7599304382247,1969.2877092215122,65420.0,61594.0
20230815,1965.1774148377008,1967.9176110935748,1954.6733291901835,1957.413525446057,1960.153721701932,32778.0,54757.0
20230816,1959.2862004285464,1963.031550393523,1948.98648802486,1953.2000067354584,1955.072681717947,45175.0,77950.0
20230817,1957.88169419168,1957.88169419168,1926.98255698062,1937.2822693843066,1939.6231131124173,70576.0,80476.0
20230818,1940.559450603661,1990.185337639605,1939.6231131124173,1980.3537939815408,1969.1177440866104,112950.0,84233.0
20230821,1987.376325165873,2000.01688129767,1976.6084440165641,1992.058012622093,1988.7808314027395,89833.0,86285.0
20230822,1988.7808314027395,1988.7808314027395,1969.1177440866104,1974.735769034076,1975.67210652532,65762.0,88276.0
20230823,1971.4585878147207,2010.3165937013564,1929.7915694543526,1979.417456490297,1987.376325165873,107724.0,90748.0
20230824,1972.3949253059648,1981.7583002184078,1954.6045129723248,1959.2862004285464,1965.8405628672558,101188.0,99464.0
20230825,1964.4360566303887,2001.8895562801583,1964.4360566303887,1985.0354814377624,1982.6946377096522,125798.0,93580.0
20230828,1998.6123750608035,2009.3802562101125,1983.162806455273,1984.0991439465176,1992.5261813677162,87016.0,90399.0
20230829,1992.5261813677162,2044.961080877393,1984.0991439465176,2037.9385496930606,2016.402787394444,175411.0,96545.0
20230830,2035.1295372193285,2053.388118298591,2027.6388372893744,2038.406718438684,2039.8112246755493,140522.0,96400.0
20230831,2039.8112246755493,2041.683899658038,2023.8934873243973,2033.2568622368399,2033.2568622368399,88116.0,83307.0
20230901,2035.5977059649506,2053.388118298591,2026.234331052508,2031.852355999973,2037.9385496930606,98479.0,70411.0
